6007	6258139.00000000000	2083539.62500000000
6023	6243399.50000000000	2012791.50000000000
6015	6309000.00000000000	1990122.87500000000
6019	6244855.00000000000	1958607.37500000000
6017	6314660.00000000000	1943535.00000000000
6033	6256965.50000000000	1907639.87500000000
6020	6262251.00000000000	1903317.75000000000
6028	6262204.50000000000	1900562.25000000000
6025	6260275.00000000000	1899659.75000000000
6022	6283816.50000000000	1871775.25000000000
6029	6283602.50000000000	1871493.50000000000
6004	6284793.00000000000	1871482.37500000000
6013	6283515.00000000000	1870438.87500000000
6011	6302030.00000000000	1868866.25000000000
6008	6328837.50000000000	1864214.00000000000
6003	6313622.00000000000	1863305.12500000000
6010	6286651.00000000000	1856103.75000000000
6024	6280106.00000000000	1855593.37500000000
6012	6281938.50000000000	1854351.37500000000
6026	6307536.50000000000	1853011.37500000000
6027	6285946.00000000000	1844847.37500000000
6006	6279154.00000000000	1833577.25000000000
6016	6305477.00000000000	1830188.62500000000
6018	6305193.50000000000	1811419.12500000000
6005	6323739.50000000000	1805560.00000000000
